id,creationTime,modifiedTime,owner,statusCode,expectedDeliveryDate,quantityUnitCode,quantityValue,version
CurrentItemQuantityData|0052a793-d934-438b-bfed-ef9b19b20d62,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200,ItemLocationData|a8b86c3c-06a4-4c85-ba79-c1069afbe589,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00575942-665e-4f35-ba89-9f6390e4486f,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200,ItemLocationData|62fca075-fb80-4bde-a24e-ad6ff0c4a537,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|005be69d-a82b-4408-8340-5b11aaa5c5ab,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200,ItemLocationData|6e53d914-263a-4ed3-940d-fbf4bde59fdb,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00618df7-4a77-4577-ba32-2b2e8b73b426,2013-05-28 13:46:33:000 +0200,2013-05-28 13:46:33:000 +0200,ItemLocationData|7647fe07-1b86-44d2-86bb-f0f687fc3562,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00655849-f273-4b8c-b70b-5ed2ee298886,2013-05-28 13:46:17:000 +0200,2013-05-28 13:46:17:000 +0200,ItemLocationData|fd5d48f4-98b9-4c4d-a883-a397bfc512bb,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0066faae-090d-4dfb-861e-e0d4842e907b,2013-05-28 13:46:31:000 +0200,2013-05-28 13:46:31:000 +0200,ItemLocationData|afff3081-a746-4b53-882a-370d7d231048,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0069c6bb-ca05-4319-85a0-1d0b2682e349,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200,ItemLocationData|1c885c00-61a0-47f4-9ad2-9ebb66cec99a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|006c5f42-f020-4078-aaea-855288260c2e,2013-05-28 13:46:04:000 +0200,2013-05-28 13:46:04:000 +0200,ItemLocationData|9944bb89-303c-4d52-92a8-d8def72ae265,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|006d57ff-bd3e-4a50-b71b-bfcb6014fe03,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200,ItemLocationData|fbda9649-aa77-4b51-90f7-5ff1a2c74ca1,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|006dba37-1854-4663-b2f2-99ddc32e0ace,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200,ItemLocationData|55cc632c-fc0b-4f80-bcf0-c4f13d3d9d1f,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0092c501-f5ea-4ada-8159-6ca3556cf3fc,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|069ebfd3-9e38-4b08-8ffd-db212ace81e3,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|009a6b61-ed96-46af-8fe0-9aee497dabd9,2013-05-28 13:46:08:000 +0200,2013-05-28 13:46:08:000 +0200,ItemLocationData|08853082-c822-4d86-85e2-36f45a9d657f,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|009bc998-913e-46a6-b6c8-c5920763aa56,2013-05-28 13:46:13:000 +0200,2013-05-28 13:46:13:000 +0200,ItemLocationData|432c1593-8e57-4fd4-87db-8007363d0eff,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|009de2a0-d357-4d30-ae06-e060cf1ff88c,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200,ItemLocationData|ed09c411-a270-4c3f-8f99-407b09e78dab,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00a8a398-41d7-4db9-b9b5-f7d79960e4e8,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200,ItemLocationData|3e092c73-af3d-4d61-97d5-0ee25795720f,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00da8c53-5253-49f2-b038-f8c6cdda2a13,2013-05-28 13:46:34:000 +0200,2013-05-28 13:46:34:000 +0200,ItemLocationData|957cecfa-bc52-4ba5-bb6e-349cf501e2ab,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|00edc96e-687e-4b38-b167-5bc69dd9fc89,2013-05-28 13:46:17:000 +0200,2013-05-28 13:46:17:000 +0200,ItemLocationData|aae8109d-7841-4a35-84af-7b52db72f122,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01041b97-8db1-438b-95e6-df10c11fe510,2013-05-28 13:46:20:000 +0200,2013-05-28 13:46:20:000 +0200,ItemLocationData|09d3457f-b53e-4cb9-9153-5f6080dec0fd,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|010fb9d9-2aa0-49a4-8b9b-a8d4e2039db0,2013-05-28 13:46:32:000 +0200,2013-05-28 13:46:32:000 +0200,ItemLocationData|70b3ab9e-3edf-41eb-b67c-7cd22c1a6c29,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|011e063c-c94b-4b89-b702-e1a9ba490b22,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200,ItemLocationData|8413e15c-9e94-4968-803a-0f34db2a06dc,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01208bde-024d-40d9-b8bd-c4e037931582,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200,ItemLocationData|b243427e-cce9-481d-9622-1c0234991ddb,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|012214a8-f0b7-4258-b664-fd5060f16ae2,2013-05-28 13:46:30:000 +0200,2013-05-28 13:46:30:000 +0200,ItemLocationData|5d8bd06f-769d-42c6-bdde-b17424f38c3a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0141fc13-08ef-4c2a-a06d-1172c8afecaf,2013-05-28 13:46:33:000 +0200,2013-05-28 13:46:33:000 +0200,ItemLocationData|fcd876ee-13cb-45b5-b23d-4082501680b8,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|014224e6-006a-406e-b056-5a5c555113e1,2013-05-28 13:46:46:000 +0200,2013-05-28 13:46:46:000 +0200,ItemLocationData|eabc2426-5548-42f1-a574-f6086ee5c51a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0149f08a-4368-45dd-b3f1-905b746a5796,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200,ItemLocationData|34393d79-08a0-418d-8bb2-1e4507368777,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|014ffeba-4199-45ca-86bd-d016f1387f85,2013-05-28 13:46:18:000 +0200,2013-05-28 13:46:18:000 +0200,ItemLocationData|a2a3b64c-c90b-465a-a68a-20382b06e829,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0155393a-5aa1-4743-8427-4adfadca594a,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200,ItemLocationData|27f786ef-297e-4e90-9cb8-5daeb0e2014e,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0159ac34-b80c-43e7-8be0-df7a9daebef3,2013-05-28 13:46:28:000 +0200,2013-05-28 13:46:28:000 +0200,ItemLocationData|7015735e-bd7f-4fb3-9772-4a2b211d8b8a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0159c4f8-5c1c-4192-adc5-8833a5edea13,2013-05-28 13:46:42:000 +0200,2013-05-28 13:46:42:000 +0200,ItemLocationData|25fa0793-097d-48a6-86b2-30d369012a37,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0159ee45-abcc-44ef-b4c3-926c0f4b8360,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200,ItemLocationData|74dd890e-bad7-466e-b7fe-c630eaed85de,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|016520e8-d348-428d-a05f-c4e0d205b4d5,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200,ItemLocationData|7e35c653-983a-4e2f-ad88-517d4857bded,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|016bbb60-62e6-47c7-9c0e-b87a66602604,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200,ItemLocationData|4c213bae-bad5-41e7-af49-b93ef5be6234,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0171e27d-5a4c-4f2f-928a-dd8c754f2d79,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200,ItemLocationData|65d53b4e-9d15-49a9-8d96-b257f49a7114,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01769eb1-b458-442c-8a48-00b349fd9192,2013-05-28 13:46:02:000 +0200,2013-05-28 13:46:02:000 +0200,ItemLocationData|0ab8a504-bb3c-4947-9400-20587b991bf3,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|017d1e96-bc6c-4d03-9517-59a3a4055893,2013-05-28 13:46:06:000 +0200,2013-05-28 13:46:06:000 +0200,ItemLocationData|537ee7c0-8378-4817-b8d2-1daf2a39419a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|018f20fc-9ecc-4860-961a-a3db0b53211e,2013-05-28 13:46:08:000 +0200,2013-05-28 13:46:08:000 +0200,ItemLocationData|4cbb429b-19e4-495e-9390-cbe3d9ab75de,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01944461-761d-4486-8709-bc3f4a595b64,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200,ItemLocationData|26a81670-a863-442e-8fb4-1a0fe72a0398,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01a0bd9b-1198-4d18-a91d-a80d4d8222f5,2013-05-28 13:46:04:000 +0200,2013-05-28 13:46:04:000 +0200,ItemLocationData|41cd5c74-c6f2-4fd7-9cb3-7bcc16941130,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01a1379a-7da0-405b-8e94-e1c3e43f093b,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|b8a45d61-94b5-48bd-8d6c-95c5a5c8ec45,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01b1f524-bff2-4549-9c80-7d18242eb278,2013-05-28 13:46:17:000 +0200,2013-05-28 13:46:17:000 +0200,ItemLocationData|a076baac-d48c-4385-a4fc-4ca219b10e96,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01bb4346-7400-494f-9bf1-a90a57a47f04,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200,ItemLocationData|edf07cb0-980c-42b9-904d-83a8d0374660,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01be7733-ea0a-4366-bc99-6577d679c5e6,2013-05-28 13:46:02:000 +0200,2013-05-28 13:46:02:000 +0200,ItemLocationData|f7f883d2-9b4e-424c-983c-59d66fd630b0,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01c5c2b4-2b85-46f3-9412-42a6503d53a3,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200,ItemLocationData|461b41d5-c901-4cba-b6be-5b4b93d2779b,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01c8cf47-60b7-4797-8330-a5b3f6f1ac3c,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200,ItemLocationData|aff4ed43-3be1-4191-bb2c-5746cb0ad5ad,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01c97f35-f433-4158-b193-4eddef9920eb,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200,ItemLocationData|9473aa05-ee83-4851-a861-0d27887d0e44,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01e29ea0-6240-47d0-bfbb-de3e6ff61c15,2013-05-28 13:46:09:000 +0200,2013-05-28 13:46:09:000 +0200,ItemLocationData|59efb876-b77f-4684-9729-e2f1d58f478f,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01e36c72-540d-4f11-a70a-61f8d5d9aaf0,2013-05-28 13:46:24:000 +0200,2013-05-28 13:46:24:000 +0200,ItemLocationData|80ce37b5-61c4-4ece-9e30-902e5f456e2c,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01e4a3c9-fb27-4a80-88fa-a5adb8cab946,2013-05-28 13:46:33:000 +0200,2013-05-28 13:46:33:000 +0200,ItemLocationData|6f595b52-674e-4060-8fa3-6057ec6aa5e6,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01e851b5-d7fb-4f9d-9468-c31db91c67f3,2013-05-28 13:46:26:000 +0200,2013-05-28 13:46:26:000 +0200,ItemLocationData|450c7431-555d-47a4-b12e-0fd6e29f16fb,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01f20aca-84c8-4d0b-840c-e2d31a7eb3b8,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200,ItemLocationData|bd48c4ba-14b3-42d3-9b2d-b98572eb1afe,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|01fbec1d-3182-4b5a-a380-e0695f0689ec,2013-05-28 13:46:23:000 +0200,2013-05-28 13:46:23:000 +0200,ItemLocationData|da0c215b-648b-4bfc-8934-e33e1e991ee7,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0200251c-36fd-4156-9039-04e86c53827f,2013-05-28 13:46:11:000 +0200,2013-05-28 13:46:11:000 +0200,ItemLocationData|1ff276c9-b3f9-419d-955d-8595a9977151,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02007a05-602f-4c8e-a9b9-eeda7c37630e,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|9a5a7f4c-98a7-487d-bb7a-3362500d701b,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0200d4d7-425e-42f7-994c-6b0eaf4bc110,2013-05-28 13:46:30:000 +0200,2013-05-28 13:46:30:000 +0200,ItemLocationData|dd02d2a8-eb38-45d5-8570-f8c3f8267ae8,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0206d674-4284-4018-a6e9-08b5559facc2,2013-05-28 13:46:11:000 +0200,2013-05-28 13:46:11:000 +0200,ItemLocationData|9c8e5802-86ed-4a31-9a5b-7e7725d362d1,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0206f18f-2363-4047-b7d0-9f41dd85ea7c,2013-05-28 13:46:30:000 +0200,2013-05-28 13:46:30:000 +0200,ItemLocationData|0c7afd96-c77d-4644-a58d-b2cf90538afd,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|020d14cd-7632-4dc3-bd1f-540fbfa3efb0,2013-05-28 13:46:44:000 +0200,2013-05-28 13:46:44:000 +0200,ItemLocationData|a61a82c9-e6c0-43ce-9ab6-f1feab3880e2,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0210d20a-9460-401f-9de6-20967eeb17f1,2013-05-28 13:46:41:000 +0200,2013-05-28 13:46:41:000 +0200,ItemLocationData|79687685-4709-4b2d-a45f-0280fa286560,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02138b8e-0690-4aec-9754-5107d8f53447,2013-05-28 13:46:29:000 +0200,2013-05-28 13:46:29:000 +0200,ItemLocationData|a218f313-5ae5-448b-8c7a-d3de7c0ae6d6,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02246a3d-909f-4ef9-8fc9-a2377c88a8f7,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200,ItemLocationData|c7a85867-6320-4e72-821d-d83189b5170c,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0227e107-c506-4824-bb63-84d790ba78b9,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200,ItemLocationData|99649ba0-eba3-4052-b10f-ac1fe332fdb6,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|022a1e6e-1e3f-4565-ac22-8fa8f466f161,2013-05-28 13:46:00:000 +0200,2013-05-28 13:46:00:000 +0200,ItemLocationData|97c1a3c2-7bce-4966-bd1e-37da9a3803a1,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|022a38f0-1572-4162-aac0-886ded43c40c,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|1926c970-cf02-4c88-aba3-3770d2b77f5e,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0234318a-214d-4649-a505-793a1e30b537,2013-05-28 13:46:21:000 +0200,2013-05-28 13:46:21:000 +0200,ItemLocationData|1414cfc9-85d0-46a6-925e-fb6b7b2286ca,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02367e41-e528-49a9-9c6d-5f0770dfe0d3,2013-05-28 13:46:13:000 +0200,2013-05-28 13:46:13:000 +0200,ItemLocationData|49995568-8190-41e3-acf0-1cf330e24c97,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|023de0d0-7f2f-4e4e-9f66-3aec53ba74c3,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200,ItemLocationData|e8b7328c-e3ef-4766-bd6f-0527f61ddb0e,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02434506-8ee7-4bf4-b251-26710a1c1f89,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200,ItemLocationData|b3bcd193-a42d-4727-80f9-79e848788e7c,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0247106a-cb45-4610-b5a4-c46a35f91738,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200,ItemLocationData|15bd2a03-e7fc-4ca1-b91c-43db49210d96,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|024a4d0b-86ef-4bbb-99a7-172af6237608,2013-05-28 13:46:39:000 +0200,2013-05-28 13:46:39:000 +0200,ItemLocationData|e4a5789e-65ea-4f17-968c-58c97c46ed3a,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|024c2cd0-7e96-4ae9-8bbb-a98069511f76,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200,ItemLocationData|80a5dc94-7a9c-4512-94f7-85c1ede815e5,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02531d1b-1626-4cff-804b-0442fce9b187,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200,ItemLocationData|5e43cf41-b389-446a-bde1-bdad0a8b23f9,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|025ae7f1-e9aa-40ed-b2ec-7db107d11c75,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200,ItemLocationData|9dad0481-d8d2-4c4b-91f4-ed04de53b001,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|025f1627-261f-4161-853b-bef6051b3857,2013-05-28 13:46:00:000 +0200,2013-05-28 13:46:00:000 +0200,ItemLocationData|44d731b0-4357-4708-aa57-f0a4112de2ce,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0265d8ad-460b-4f3e-9de6-226cd78b43dd,2013-05-28 13:46:38:000 +0200,2013-05-28 13:46:38:000 +0200,ItemLocationData|cb28dba1-074b-4a19-9607-67ad71b9a3d9,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|026c1439-39f1-436b-8041-de5c90145b1c,2013-05-28 13:46:42:000 +0200,2013-05-28 13:46:42:000 +0200,ItemLocationData|d097bf5b-8bde-4f49-a48c-3034b08f9d7b,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02713bb6-d61d-4f29-bef0-31276d7a3a0f,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200,ItemLocationData|c61f3aba-ffcc-40b9-a4df-2c71b9c6ce5d,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|02743bf1-5823-4eca-a738-d9dec40c6d6c,2013-05-28 13:46:46:000 +0200,2013-05-28 13:46:46:000 +0200,ItemLocationData|ea5124db-2b40-41cd-a767-1875f409ea20,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|0274bb72-2c84-4615-812d-a7003648f598,2013-05-28 13:46:39:000 +0200,2013-05-28 13:46:39:000 +0200,ItemLocationData|f3dec17f-1b05-4b07-b324-364b0a62772b,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|027c94ab-b1b6-4014-b1e7-cb2a586140e0,2013-05-28 13:46:20:000 +0200,2013-05-28 13:46:20:000 +0200,ItemLocationData|065e869e-4005-451e-af82-dccb2846a178,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|028643d4-e6b3-44bc-8e46-6253b20e3bba,2013-05-28 13:46:40:000 +0200,2013-05-28 13:46:40:000 +0200,ItemLocationData|40d4adfe-fe16-43ae-8855-5407305081b9,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
CurrentItemQuantityData|028baeb5-8af7-43fb-8e2f-8a05d6b915e1,2013-05-28 13:46:20:000 +0200,2013-05-28 13:46:20:000 +0200,ItemLocationData|949e6815-4819-41a0-ad09-bdb0671e082f,ON_HAND,1900-01-01 01:00:00:000 +0100,,5000,1
