itemId,stockroomLocation,future,bin,version,id,creationTime,modifiedTime
23213,StockroomLocationData|b4ae8dca-0205-465b-9291-ef50a75ca7f8,false,BinData|ed4afe0e-8b73-4bc3-a785-917776eb4b7a,1,ItemLocationData|0060d7b9-bc41-4829-a00f-776b2f955cc5,2013-05-28 13:46:44:000 +0200,2013-05-28 13:46:44:000 +0200
288420,StockroomLocationData|27d00726-fb7c-4a86-becc-22ca74bb946d,false,BinData|9015bee9-dd3c-45bb-b47f-71414057fef0,1,ItemLocationData|0063fb1e-41d0-4d10-a9b0-52445b895174,2013-05-28 13:46:43:000 +0200,2013-05-28 13:46:43:000 +0200
1992691,StockroomLocationData|3e5c43c2-d5b3-4d16-bc03-f8de9e6107c7,false,BinData|4c1bc9f3-3797-438c-aa33-caf559305079,1,ItemLocationData|00698df2-5c78-4740-97c6-2d12e9538f95,2013-05-28 13:46:41:000 +0200,2013-05-28 13:46:41:000 +0200
4872010,StockroomLocationData|1a97add2-17b2-41f9-a7bd-93a21f8250af,false,BinData|71d435f3-c845-4e7d-8a5c-077b56075fa1,1,ItemLocationData|007abbf8-d0a7-46f6-b52e-3d1928e8f207,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200
3429337,StockroomLocationData|857b3018-2021-4c30-8487-9a4464956297,false,BinData|393c9e5f-7580-4b9d-9b8b-736a1281d689,1,ItemLocationData|007e880a-8ac5-42ff-8b46-ce222f5b442a,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200
328796,StockroomLocationData|29001c68-589f-4244-8f51-910a7956a17a,false,BinData|84e3bc32-fe52-41e8-bf31-6563026158e5,1,ItemLocationData|007fc513-daf5-45f0-93b9-72f3452f4baa,2013-05-28 13:46:20:000 +0200,2013-05-28 13:46:20:000 +0200
479742,StockroomLocationData|0bdfe70f-65db-4967-bbab-0d3cc4a4e42f,false,BinData|ab845265-786a-406b-bcf8-ac63440fc814,1,ItemLocationData|0080900b-50df-4d86-bcc4-1f3412db32da,2013-05-28 13:46:13:000 +0200,2013-05-28 13:46:13:000 +0200
5103775,StockroomLocationData|6891151b-dd09-4eb0-a517-29e6aa160d1e,false,BinData|8a112d10-3132-4cec-b8b3-ce2fd4ff0e0b,1,ItemLocationData|00810238-293a-4228-9af2-e69b3ed42e5f,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200
832382,StockroomLocationData|94f771b0-d548-4811-a299-98b3b12ce6ea,false,BinData|7b5969d8-e0d6-4243-ba71-c46dbadc1e1d,1,ItemLocationData|00846d6c-e998-4ee2-ba13-946d7a682a83,2013-05-28 13:46:02:000 +0200,2013-05-28 13:46:02:000 +0200
1716323,StockroomLocationData|ad17cd93-28e0-48ec-8549-45bc76e97890,false,BinData|03cbcd89-fbc0-498f-9f46-fefa32cad6cc,1,ItemLocationData|0085c4b9-73fa-496c-a8fd-2ebd98465e90,2013-05-28 13:46:28:000 +0200,2013-05-28 13:46:28:000 +0200
1312640,StockroomLocationData|0f60cba9-3c71-4324-96f2-3f59cb0f3bf1,false,BinData|5092b04b-8e9a-488c-9cca-1fd1318dad1d,1,ItemLocationData|0086d06b-0724-4918-a26a-3cd30559f9c9,2013-05-28 13:46:22:000 +0200,2013-05-28 13:46:22:000 +0200
3965240,StockroomLocationData|db7d2c95-c355-4e4f-8969-a3e924d2692a,false,BinData|30e88447-ff76-4828-a3ef-8a535e1d6f95,1,ItemLocationData|008ec876-b0a1-4514-8e51-2ce2ebde6507,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200
1776947,StockroomLocationData|27e4df27-4570-4374-a9b6-85c05eb4b8c4,false,BinData|74c7d8be-27fe-4cdc-9d31-f0848958f8c5,1,ItemLocationData|0096cf86-b66f-4088-9747-92c8a857893b,2013-05-28 13:46:23:000 +0200,2013-05-28 13:46:23:000 +0200
301544,StockroomLocationData|d7267a18-65a1-43a2-aec2-4f2331508c32,false,BinData|d49c433a-9dab-493a-8a76-c49c8e1ed3d1,1,ItemLocationData|009ee356-7251-4532-8f36-599a1683cc33,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200
5897548,StockroomLocationData|277a8751-4c18-441b-856d-651cbe762dbf,false,BinData|d45ecd88-2889-4a26-a444-5eb104f837ca,1,ItemLocationData|00af0222-b540-40dc-927c-7c5aed0b0389,2013-05-28 13:46:31:000 +0200,2013-05-28 13:46:31:000 +0200
325715,StockroomLocationData|45ea79c1-8f98-4f73-9b88-a7a732782396,false,BinData|ad0883b6-e9d5-45ac-afc7-65989b30b782,1,ItemLocationData|00bde3a8-c7d3-4a60-8478-3e7e25bb1b66,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200
137220,StockroomLocationData|27e4df27-4570-4374-a9b6-85c05eb4b8c4,false,BinData|74c7d8be-27fe-4cdc-9d31-f0848958f8c5,1,ItemLocationData|00c57e5a-5d35-4890-b41c-e7dd382ad877,2013-05-28 13:46:23:000 +0200,2013-05-28 13:46:23:000 +0200
489680,StockroomLocationData|5413b88f-1957-47ef-beeb-68e80163595e,false,BinData|9b4943a8-56e2-4c4b-b3ae-7743bd4c4903,1,ItemLocationData|00c6f4b3-4a80-4cea-9334-a017fdff8057,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200
572461,StockroomLocationData|cb353a76-4f51-4a3c-b397-6dd03024a32f,false,BinData|2708b720-9484-4dfd-b2b1-5d5e1c5d1d20,1,ItemLocationData|00d80b28-0370-41c5-a7e6-324be2377b38,2013-05-28 13:46:29:000 +0200,2013-05-28 13:46:29:000 +0200
2054948,StockroomLocationData|6daf1a20-f2e5-49fe-bfd4-183dd096df22,false,BinData|0877e3b1-692f-4aa6-b159-2069af818433,1,ItemLocationData|00df0143-ed61-4d8c-ba32-9d07e399fe78,2013-05-28 13:46:48:000 +0200,2013-05-28 13:46:48:000 +0200
3357724,StockroomLocationData|9314cf04-634b-4678-a04a-24cc96133f50,false,BinData|bac24dc6-7598-4053-a00f-434eadfe2deb,1,ItemLocationData|00e7037e-4c87-42a5-8a76-6eb2d0f5b0b1,2013-05-28 13:46:00:000 +0200,2013-05-28 13:46:00:000 +0200
278688,StockroomLocationData|1e7bb275-25b4-4935-bfa3-8084d9edb78d,false,BinData|b9598728-0f09-43da-b329-ea0d93eaeab6,1,ItemLocationData|00ee5041-feed-4809-a895-c37195ddb655,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
918735,StockroomLocationData|aa5b404d-da1c-4aab-aaaa-b2d8f0995d92,false,BinData|523318ee-e708-4292-a956-0d59b5be6ef2,1,ItemLocationData|00eed43e-f3fe-4c4b-981e-d65dced50d93,2013-05-28 13:46:26:000 +0200,2013-05-28 13:46:26:000 +0200
816379,StockroomLocationData|e91a9a6d-e5ab-4f05-af50-03ecaf724a6b,false,BinData|9a7c5d20-82fd-4285-9a8b-9fb8ba0f6f99,1,ItemLocationData|00fd49cc-65f4-4856-923e-9a51a2723072,2013-05-28 13:46:08:000 +0200,2013-05-28 13:46:08:000 +0200
1209761,StockroomLocationData|6a016231-e016-43c8-a613-5066135d2c0c,false,BinData|6dadd63c-c5e4-4bc4-bfbf-15cd36d0cb31,1,ItemLocationData|00fda462-c261-447d-893e-0da6e9476353,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200
2336001,StockroomLocationData|1e7bb275-25b4-4935-bfa3-8084d9edb78d,false,BinData|b9598728-0f09-43da-b329-ea0d93eaeab6,1,ItemLocationData|01002466-cff7-40a4-b0ee-510a506e48ba,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
1298094,StockroomLocationData|36197c25-3e3f-4cf1-9a16-86bd6142f196,false,BinData|1479b4b0-50cc-4dbd-9f69-0f635ac9d3bf,1,ItemLocationData|01099877-0200-4663-a316-dd16a2ccad06,2013-05-28 13:46:12:000 +0200,2013-05-28 13:46:12:000 +0200
4785190,StockroomLocationData|6891151b-dd09-4eb0-a517-29e6aa160d1e,false,BinData|8a112d10-3132-4cec-b8b3-ce2fd4ff0e0b,1,ItemLocationData|010b05d6-a838-4c19-8fbb-7f29b8649b89,2013-05-28 13:46:07:000 +0200,2013-05-28 13:46:07:000 +0200
4787986,StockroomLocationData|5413b88f-1957-47ef-beeb-68e80163595e,false,BinData|9b4943a8-56e2-4c4b-b3ae-7743bd4c4903,1,ItemLocationData|010d9e2f-8949-4213-b68e-e435ef9de996,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200
1715477,StockroomLocationData|524ab20c-55ff-4f68-be17-3c77ee2d6a14,false,BinData|87bbc0df-56af-4ed3-996c-1d8f30b3e542,1,ItemLocationData|0119448e-5c17-4ca7-9e89-d6584fffa8a9,2013-05-28 13:46:13:000 +0200,2013-05-28 13:46:13:000 +0200
1209761,StockroomLocationData|14e33d57-8a85-4279-806a-d9fd0933f326,false,BinData|d2d29199-6a53-4921-a2ee-75297cb7f23f,1,ItemLocationData|01206c2a-2d47-4f87-a9b4-d0d284bc0417,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
1438467,StockroomLocationData|36197c25-3e3f-4cf1-9a16-86bd6142f196,false,BinData|1479b4b0-50cc-4dbd-9f69-0f635ac9d3bf,1,ItemLocationData|01223d85-4235-48ac-8f48-68c9787fe000,2013-05-28 13:46:12:000 +0200,2013-05-28 13:46:12:000 +0200
1992697,StockroomLocationData|6a016231-e016-43c8-a613-5066135d2c0c,false,BinData|6dadd63c-c5e4-4bc4-bfbf-15cd36d0cb31,1,ItemLocationData|0123118a-9c87-4673-9f39-4839c3754b9a,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200
3683639,StockroomLocationData|db7d2c95-c355-4e4f-8969-a3e924d2692a,false,BinData|30e88447-ff76-4828-a3ef-8a535e1d6f95,1,ItemLocationData|0126aa4a-e1b8-476b-9c2a-c13fbf3ac5bc,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200
816802,StockroomLocationData|b4ae8dca-0205-465b-9291-ef50a75ca7f8,false,BinData|ed4afe0e-8b73-4bc3-a785-917776eb4b7a,1,ItemLocationData|0139b8c1-6a51-4232-b753-824d57cf8db5,2013-05-28 13:46:43:000 +0200,2013-05-28 13:46:43:000 +0200
472057,StockroomLocationData|dd4ac519-8571-440e-9b9e-730376d968d9,false,BinData|043f8aba-26fa-4022-b92d-54748d3a390d,1,ItemLocationData|013cd5e3-494d-4607-bbf4-2e4a248e0087,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200
1978431,StockroomLocationData|b244a351-5d62-4ed8-b2ec-e4ce37cedd7c,false,BinData|44e827c7-9461-4076-a68e-97b35097b063,1,ItemLocationData|01415037-e803-4a27-98de-3933d12e1873,2013-05-28 13:46:26:000 +0200,2013-05-28 13:46:26:000 +0200
768108,StockroomLocationData|cb41fb9c-2f7e-47fe-be7d-39c28ec38f13,false,BinData|87b547fa-21c7-4d14-a1e0-4cffa2338bf6,1,ItemLocationData|014cd6d9-1223-41b2-b452-c4e901c2fe53,2013-05-28 13:46:24:000 +0200,2013-05-28 13:46:24:000 +0200
1312564,StockroomLocationData|dd4ac519-8571-440e-9b9e-730376d968d9,false,BinData|043f8aba-26fa-4022-b92d-54748d3a390d,1,ItemLocationData|014f105b-a958-445c-a2e4-34576c4963ac,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200
726510,StockroomLocationData|0547f69e-d390-400b-a2eb-848772325406,false,BinData|e3123ca7-e663-471b-9afb-edb040b89d16,1,ItemLocationData|015059fd-8920-4f74-8d6a-4795bd811ea8,2013-05-28 13:46:34:000 +0200,2013-05-28 13:46:34:000 +0200
784381,StockroomLocationData|f348db1d-edf7-4a65-b40b-871480ff0998,false,BinData|805c9511-eb09-413a-a012-c6afe85ce805,1,ItemLocationData|0150800e-b9b8-4bfb-9775-95c1acdb16d1,2013-05-28 13:46:48:000 +0200,2013-05-28 13:46:48:000 +0200
325715,StockroomLocationData|8504b1ce-2d54-448d-979f-10ece96839f3,false,BinData|1c1676f7-be20-4afd-b6b1-10e66d6cd4d4,1,ItemLocationData|0160e066-a432-437b-870b-7d7709b37467,2013-05-28 13:46:41:000 +0200,2013-05-28 13:46:41:000 +0200
3958110,StockroomLocationData|01e3ed06-96e3-4cbd-98c1-3d2672523b5f,false,BinData|368c2487-8846-44ce-862a-bc321d534da3,1,ItemLocationData|01641a46-ee24-414d-a1ec-373bfffe3e31,2013-05-28 13:46:18:000 +0200,2013-05-28 13:46:18:000 +0200
1776947,StockroomLocationData|ee912097-488d-4042-b932-9fdff00ac1e5,false,BinData|633cec49-e867-447c-8eb0-a8c3ad7c0f10,1,ItemLocationData|01644daa-9dc6-44fb-ac87-59a09c56f23c,2013-05-28 13:46:19:000 +0200,2013-05-28 13:46:19:000 +0200
2292454,StockroomLocationData|dd4ac519-8571-440e-9b9e-730376d968d9,false,BinData|043f8aba-26fa-4022-b92d-54748d3a390d,1,ItemLocationData|0164bb05-f08b-46f4-a6c6-ff54e264f7e6,2013-05-28 13:46:02:000 +0200,2013-05-28 13:46:02:000 +0200
473995,StockroomLocationData|01e3ed06-96e3-4cbd-98c1-3d2672523b5f,false,BinData|368c2487-8846-44ce-862a-bc321d534da3,1,ItemLocationData|016d26d4-84d6-4e4c-960d-b6c65e81a6ad,2013-05-28 13:46:17:000 +0200,2013-05-28 13:46:17:000 +0200
932643,StockroomLocationData|a20cf24e-d324-4297-9e72-bd43a51bdc71,false,BinData|a9acad6e-e89c-42f4-b565-f18ba1b6dd04,1,ItemLocationData|017621bb-c06b-4c9f-8ea2-18784ac91d6e,2013-05-28 13:46:39:000 +0200,2013-05-28 13:46:39:000 +0200
288846,StockroomLocationData|b3e0d077-c219-4fbf-acb8-82bc851650a1,false,BinData|e132ea88-45fa-4649-8745-40bbd4e90011,1,ItemLocationData|017e3d7a-22c7-447c-b89a-09acfb730003,2013-05-28 13:46:03:000 +0200,2013-05-28 13:46:03:000 +0200
473996,StockroomLocationData|0f60cba9-3c71-4324-96f2-3f59cb0f3bf1,false,BinData|5092b04b-8e9a-488c-9cca-1fd1318dad1d,1,ItemLocationData|01810f45-82f0-4a05-98c1-a78518328964,2013-05-28 13:46:21:000 +0200,2013-05-28 13:46:21:000 +0200
2053266,StockroomLocationData|14e33d57-8a85-4279-806a-d9fd0933f326,false,BinData|d2d29199-6a53-4921-a2ee-75297cb7f23f,1,ItemLocationData|018265bc-b119-4c50-93f4-5d9ca3ed0201,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
3514519,StockroomLocationData|5413b88f-1957-47ef-beeb-68e80163595e,false,BinData|9b4943a8-56e2-4c4b-b3ae-7743bd4c4903,1,ItemLocationData|01afcc4a-bfa9-48ae-8977-03919fe80c40,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200
1986316,StockroomLocationData|1a97add2-17b2-41f9-a7bd-93a21f8250af,false,BinData|71d435f3-c845-4e7d-8a5c-077b56075fa1,1,ItemLocationData|01b4399d-124c-4915-8020-40a64c0c771f,2013-05-28 13:46:44:000 +0200,2013-05-28 13:46:44:000 +0200
325715,StockroomLocationData|94f771b0-d548-4811-a299-98b3b12ce6ea,false,BinData|7b5969d8-e0d6-4243-ba71-c46dbadc1e1d,1,ItemLocationData|01b77391-0d54-4bb6-b6b2-a85d74904769,2013-05-28 13:46:02:000 +0200,2013-05-28 13:46:02:000 +0200
4808175,StockroomLocationData|9ef0b7e5-cd28-4bb2-82b0-bd4b8428e563,false,BinData|7ddda32c-e68d-41bc-95c6-1fe27ac8d534,1,ItemLocationData|01b8be8a-0153-4564-9ea7-ae5f7787d658,2013-05-28 13:46:38:000 +0200,2013-05-28 13:46:38:000 +0200
791635,StockroomLocationData|36197c25-3e3f-4cf1-9a16-86bd6142f196,false,BinData|1479b4b0-50cc-4dbd-9f69-0f635ac9d3bf,1,ItemLocationData|01b9ac66-d051-402c-b03a-01b8937b6624,2013-05-28 13:46:11:000 +0200,2013-05-28 13:46:11:000 +0200
1997551,StockroomLocationData|28332e9d-05c4-44ac-b717-ab8a467f2047,false,BinData|616cd0b0-06ab-46e1-9fbe-d26d2d2143ae,1,ItemLocationData|01bab105-855b-43c1-b0ac-a675f616780e,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200
1366001,StockroomLocationData|9314cf04-634b-4678-a04a-24cc96133f50,false,BinData|bac24dc6-7598-4053-a00f-434eadfe2deb,1,ItemLocationData|01be1b40-6df4-4150-8e62-6feed8794a6c,2013-05-28 13:46:00:000 +0200,2013-05-28 13:46:00:000 +0200
479956,StockroomLocationData|1a97add2-17b2-41f9-a7bd-93a21f8250af,false,BinData|71d435f3-c845-4e7d-8a5c-077b56075fa1,1,ItemLocationData|01bff567-1116-4a3c-9aa7-09ae2d38651a,2013-05-28 13:46:45:000 +0200,2013-05-28 13:46:45:000 +0200
768108,StockroomLocationData|524ab20c-55ff-4f68-be17-3c77ee2d6a14,false,BinData|87bbc0df-56af-4ed3-996c-1d8f30b3e542,1,ItemLocationData|01c0fc2f-98c2-4f82-a1ac-91c60794f531,2013-05-28 13:46:12:000 +0200,2013-05-28 13:46:12:000 +0200
1978431,StockroomLocationData|36197c25-3e3f-4cf1-9a16-86bd6142f196,false,BinData|1479b4b0-50cc-4dbd-9f69-0f635ac9d3bf,1,ItemLocationData|01ce18b9-3df1-4436-ab4b-60f8a1d9196f,2013-05-28 13:46:12:000 +0200,2013-05-28 13:46:12:000 +0200
3514516,StockroomLocationData|11f88b0a-4451-4130-b36a-11de79b87454,false,BinData|c0286735-9f8a-4fd9-b741-12b1a5566fef,1,ItemLocationData|01d3be83-b116-404c-928c-677bcb2f0ce7,2013-05-28 13:46:32:000 +0200,2013-05-28 13:46:32:000 +0200
784343,StockroomLocationData|27d00726-fb7c-4a86-becc-22ca74bb946d,false,BinData|9015bee9-dd3c-45bb-b47f-71414057fef0,1,ItemLocationData|01da35c1-0c75-4512-af59-0bf75225e531,2013-05-28 13:46:43:000 +0200,2013-05-28 13:46:43:000 +0200
2934302,StockroomLocationData|a20cf24e-d324-4297-9e72-bd43a51bdc71,false,BinData|a9acad6e-e89c-42f4-b565-f18ba1b6dd04,1,ItemLocationData|01db330d-1eb7-40f2-8cbf-ba40a4a5e23e,2013-05-28 13:46:38:000 +0200,2013-05-28 13:46:38:000 +0200
346944,StockroomLocationData|d7267a18-65a1-43a2-aec2-4f2331508c32,false,BinData|d49c433a-9dab-493a-8a76-c49c8e1ed3d1,1,ItemLocationData|01f432d2-ac19-4718-8175-c015767c77e4,2013-05-28 13:46:36:000 +0200,2013-05-28 13:46:36:000 +0200
1320808,StockroomLocationData|28332e9d-05c4-44ac-b717-ab8a467f2047,false,BinData|616cd0b0-06ab-46e1-9fbe-d26d2d2143ae,1,ItemLocationData|01f6568d-3ae1-438f-ba12-e6ad34908d57,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200
472057,StockroomLocationData|524ab20c-55ff-4f68-be17-3c77ee2d6a14,false,BinData|87bbc0df-56af-4ed3-996c-1d8f30b3e542,1,ItemLocationData|01f972c2-3f1a-4688-a5e8-e83dde2b5663,2013-05-28 13:46:13:000 +0200,2013-05-28 13:46:13:000 +0200
454831,StockroomLocationData|45ea79c1-8f98-4f73-9b88-a7a732782396,false,BinData|ad0883b6-e9d5-45ac-afc7-65989b30b782,1,ItemLocationData|02035d81-60a7-4dcc-a718-22b0ae42b5df,2013-05-28 13:46:49:000 +0200,2013-05-28 13:46:49:000 +0200
284533,StockroomLocationData|11f88b0a-4451-4130-b36a-11de79b87454,false,BinData|c0286735-9f8a-4fd9-b741-12b1a5566fef,1,ItemLocationData|0204aa9f-651a-48cf-a878-4231d12d120d,2013-05-28 13:46:31:000 +0200,2013-05-28 13:46:31:000 +0200
3965240,StockroomLocationData|1e7bb275-25b4-4935-bfa3-8084d9edb78d,false,BinData|b9598728-0f09-43da-b329-ea0d93eaeab6,1,ItemLocationData|0207f7d4-0b55-4ce0-b026-1d9ee470a2ce,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
335546,StockroomLocationData|dd4ac519-8571-440e-9b9e-730376d968d9,false,BinData|043f8aba-26fa-4022-b92d-54748d3a390d,1,ItemLocationData|021bd514-b33a-4be3-8241-45a09cd27d0c,2013-05-28 13:46:01:000 +0200,2013-05-28 13:46:01:000 +0200
1325806,StockroomLocationData|857b3018-2021-4c30-8487-9a4464956297,false,BinData|393c9e5f-7580-4b9d-9b8b-736a1281d689,1,ItemLocationData|021d74c7-5460-4d45-a257-8ec20218d5bc,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200
834955,StockroomLocationData|36197c25-3e3f-4cf1-9a16-86bd6142f196,false,BinData|1479b4b0-50cc-4dbd-9f69-0f635ac9d3bf,1,ItemLocationData|0221fa05-ee5d-4211-b95c-4b7be93e9ca1,2013-05-28 13:46:11:000 +0200,2013-05-28 13:46:11:000 +0200
3514515,StockroomLocationData|aa5b404d-da1c-4aab-aaaa-b2d8f0995d92,false,BinData|523318ee-e708-4292-a956-0d59b5be6ef2,1,ItemLocationData|0226ee11-74ab-4c5c-8a37-987b5da0f94d,2013-05-28 13:46:27:000 +0200,2013-05-28 13:46:27:000 +0200
592506,StockroomLocationData|28332e9d-05c4-44ac-b717-ab8a467f2047,false,BinData|616cd0b0-06ab-46e1-9fbe-d26d2d2143ae,1,ItemLocationData|02301014-d7f8-4116-bfa3-11c7401c1fac,2013-05-28 13:46:05:000 +0200,2013-05-28 13:46:05:000 +0200
572473,StockroomLocationData|e91a9a6d-e5ab-4f05-af50-03ecaf724a6b,false,BinData|9a7c5d20-82fd-4285-9a8b-9fb8ba0f6f99,1,ItemLocationData|02336fae-cb1d-44e3-8bb0-d098fd259a09,2013-05-28 13:46:09:000 +0200,2013-05-28 13:46:09:000 +0200
482105,StockroomLocationData|b3e0d077-c219-4fbf-acb8-82bc851650a1,false,BinData|e132ea88-45fa-4649-8745-40bbd4e90011,1,ItemLocationData|0237d5e2-e10c-4b08-b2ca-e9c19673a3cf,2013-05-28 13:46:04:000 +0200,2013-05-28 13:46:04:000 +0200
3730957,StockroomLocationData|00ed8938-4843-4977-8d12-94bb6335855b,false,BinData|e08b5d98-561a-40fa-b903-fc682ffce720,1,ItemLocationData|02560fa0-22a4-4c27-bdf4-525d80209989,2013-05-28 13:46:19:000 +0200,2013-05-28 13:46:19:000 +0200
3325048,StockroomLocationData|6daf1a20-f2e5-49fe-bfd4-183dd096df22,false,BinData|0877e3b1-692f-4aa6-b159-2069af818433,1,ItemLocationData|0265d701-ded9-43cd-a405-b70868eb1531,2013-05-28 13:46:47:000 +0200,2013-05-28 13:46:47:000 +0200
1322041,StockroomLocationData|643f0ea1-74e6-4747-b278-87f2d74b28cd,false,BinData|322cbdf3-1774-4117-8de5-7c24af666989,1,ItemLocationData|0284446f-d730-47e8-b11e-48cd4b3c9337,2013-05-28 13:45:59:000 +0200,2013-05-28 13:45:59:000 +0200
1297878,StockroomLocationData|d9e5a84e-dbb3-4183-b436-5142bf392668,false,BinData|712bfeb1-aeab-4422-9db7-c44c2b7f51ff,1,ItemLocationData|028bd6c7-19cb-44d4-9596-3dfd6c8c1b4d,2013-05-28 13:46:33:000 +0200,2013-05-28 13:46:33:000 +0200
3325048,StockroomLocationData|aa5b404d-da1c-4aab-aaaa-b2d8f0995d92,false,BinData|523318ee-e708-4292-a956-0d59b5be6ef2,1,ItemLocationData|028efabb-7d6c-4233-b8b7-5880c62d40b9,2013-05-28 13:46:26:000 +0200,2013-05-28 13:46:26:000 +0200
848855,StockroomLocationData|e91a9a6d-e5ab-4f05-af50-03ecaf724a6b,false,BinData|9a7c5d20-82fd-4285-9a8b-9fb8ba0f6f99,1,ItemLocationData|029a34a9-9412-4db7-ac69-22c7e20bdb54,2013-05-28 13:46:08:000 +0200,2013-05-28 13:46:08:000 +0200
768108,StockroomLocationData|14e33d57-8a85-4279-806a-d9fd0933f326,false,BinData|d2d29199-6a53-4921-a2ee-75297cb7f23f,1,ItemLocationData|02a6dc8f-0d60-434f-832c-e01a57124c7b,2013-05-28 13:46:10:000 +0200,2013-05-28 13:46:10:000 +0200
